Company Name 1,Revenue Cr 09,PAT Cr 09,MCAP 09,Company Name 2,Revenue Cr 10,PAT Cr 10,MCAP 10,Company Name 3,Revenue Cr 11,PAT Cr 11,MCAP 11,
Indraprastha Gas Ltd.,878.99,172.47,2278.92,Indraprastha Gas Ltd.,1099.23,215.50,4568.87,Indraprastha Gas Ltd.,1753.55,259.77,5781.56,
IndusInd Bank Ltd.,2765.72,148.34,3770.72,IndusInd Bank Ltd.,3260.47,350.31,10218.23,IndusInd Bank Ltd.,4303.02,577.32,12314.04,
Infosys Ltd.,22166.00,5988.00,129725.74,Infosys Ltd.,23732.00,6219.00,169135.69,Infosys Ltd.,28712.00,6823.00,153942.04,
ING Vysya Bank Ltd.[Merged],2787.56,188.78,2716.52,ING Vysya Bank Ltd.[Merged],2853.78,243.06,4182.43,ING Vysya Bank Ltd.[Merged],3348.65,318.41,4678.15,
Ipca Laboratories Ltd.,1298.63,100.80,1837.04,Ipca Laboratories Ltd.,1577.21,205.36,3723.00,Ipca Laboratories Ltd.,1907.17,262.82,3046.90,
IRB Infrastructure Developers Ltd.,1021.48,175.85,6944.91,IRB Infrastructure Developers Ltd.,1753.80,385.41,9285.74,IRB Infrastructure Developers Ltd.,2502.60,452.38,5471.87,
ISGEC Heavy Engineering Ltd.,1654.58,24.90,588.27,ISGEC Heavy Engineering Ltd.,2131.33,101.42,1000.29,ISGEC Heavy Engineering Ltd.,2093.17,70.09,672.64,
ISMT Ltd.,1459.34,50.05,601.93,ISMT Ltd.,1204.68,73.35,752.94,ISMT Ltd.,1752.04,78.11,468.88,
ITC Ltd.,16850.49,3324.59,86826.58,ITC Ltd.,19761.00,4168.18,130149.04,ITC Ltd.,23050.17,5017.93,158532.91,
ITD Cementation India Ltd.,1350.13,5.50,239.63,ITD Cementation India Ltd.,1485.98,5.41,278.91,ITD Cementation India Ltd.,1655.97,12.87,171.81,
IVRCL Ltd.,4991.12,247.35,4848.85,IVRCL Ltd.,5856.64,215.55,4336.40,IVRCL Ltd.,6854.81,50.60,988.18,
Jagran Prakashan Ltd.,846.10,91.63,3108.23,Jagran Prakashan Ltd.,976.14,175.90,3915.53,Jagran Prakashan Ltd.,1246.71,209.34,NaN,
Jain Irrigation Systems Ltd.,2870.70,129.45,5780.26,Jain Irrigation Systems Ltd.,3522.65,247.59,9394.42,Jain Irrigation Systems Ltd.,4575.12,260.72,5093.17,
Jaiprakash Associates Ltd.,4967.47,420.25,32776.89,Jaiprakash Associates Ltd.,8105.11,1119.18,25572.65,Jaiprakash Associates Ltd.,11629.81,1792.82,15445.30,
JBF Industries Ltd.,4325.94,188.86,621.26,JBF Industries Ltd.,4964.66,190.40,988.64,JBF Industries Ltd.,6487.00,546.11,872.38,
Jindal Poly Films Ltd.,1578.81,105.47,866.58,Jindal Poly Films Ltd.,1802.78,204.63,2338.89,Jindal Poly Films Ltd.,2885.72,594.92,944.69,
Jindal Saw Ltd.,5369.71,326.34,3428.23,Jindal Saw Ltd.,5706.28,678.99,5786.85,Jindal Saw Ltd.,4224.30,459.91,3779.00,
